split,region,distance,axis,y_true,y_pred,abs_error
random,in,8e-05,9.839589,0.3169328,0.32513217,0.00819938
random,in,2.4e-05,7.502339,0.33121732,0.34334787,0.01213055
random,in,5.1e-05,10.075608,0.29075906,0.28718843,0.00357063
random,in,1.6e-05,9.800792,0.32565158,0.33108718,0.0054356
random,in,4e-05,9.615591,0.25601964,0.24665422,0.00936542
random,in,0.000127,7.78358,0.32889179,0.32894918,5.739e-05
random,in,2.7e-05,9.958287,0.36557945,0.38175287,0.01617342
random,in,2e-06,9.629905,0.19429461,0.1925149,0.00177971
random,in,7.8e-05,9.388562,0.16936103,0.15626166,0.01309936
random,in,0.000125,6.196122,0.25070855,0.2595447,0.00883615
random,in,5.6e-05,10.17089,0.27298191,0.26775576,0.00522615
random,in,2.9e-05,8.114343,0.25030441,0.24204811,0.0082563
random,in,6.1e-05,9.168706,0.26393311,0.25091192,0.0130212
random,in,2.3e-05,7.908058,0.28912085,0.26318798,0.02593287
random,in,7e-06,9.670232,0.23190692,0.22677319,0.00513373
random,in,3e-05,10.025919,0.22672633,0.21693874,0.00978759
random,in,3.8e-05,9.461999,0.21743658,0.22185155,0.00441496
random,in,4.7e-05,10.152359,0.26421713,0.25965558,0.00456156
random,in,5.4e-05,9.542437,0.40190601,0.40147273,0.00043328
random,in,9.1e-05,7.431174,0.21263207,0.18104042,0.03159165
random,in,4e-06,9.828772,0.19216476,0.18657533,0.00558943
random,in,3.3e-05,9.750311,0.23369926,0.22656016,0.00713911
random,in,0.000511,5.827963,0.16806591,0.15570779,0.01235812
random,in,0.0,9.905511,0.32336779,0.32571296,0.00234518
random,in,1e-05,7.433173,0.30993999,0.31288125,0.00294126
random,in,1.3e-05,9.910496,0.23261328,0.2264341,0.00617918
random,in,1.8e-05,9.744936,0.25736465,0.26149581,0.00413116
random,in,7e-06,9.658174,0.28753618,0.29997874,0.01244257
random,in,0.000202,6.995613,0.27715872,0.26439926,0.01275946
random,in,3.7e-05,9.679401,0.32761053,0.32515358,0.00245695
random,in,1.9e-05,9.510422,0.22283182,0.21870368,0.00412814
random,in,2e-05,9.87476,0.26503043,0.26898844,0.00395801
random,in,6e-06,10.104041,0.21440814,0.21183759,0.00257055
random,in,0.000213,9.297761,0.1037688,0.11706799,0.01329919
random,in,6e-06,9.240892,0.24212624,0.22032998,0.02179625
random,in,0.000184,9.104154,0.33788783,0.33717304,0.00071479
random,in,8.8e-05,8.062775,0.22185532,0.21115575,0.01069957
random,in,5.4e-05,8.439892,0.30732239,0.29449115,0.01283125
random,in,0.000514,11.866397,0.11695128,0.13343474,0.01648346
random,in,8.9e-05,9.469645,0.29094594,0.29763282,0.00668688
random,in,0.000728,11.661445,0.21887043,0.19885713,0.0200133
random,in,4.2e-05,7.828117,0.31809577,0.33593617,0.01784041
random,in,0.000257,6.693908,0.23284429,0.22980916,0.00303513
random,in,5.5e-05,9.477409,0.16815476,0.1794225,0.01126773
random,in,2.8e-05,8.385877,0.2217254,0.19972164,0.02200376
random,in,1.7e-05,9.858999,0.33987686,0.34269133,0.00281447
random,in,0.000229,8.775209,0.22105952,0.21247593,0.00858358
random,in,2.3e-05,9.292688,0.35725505,0.36371315,0.00645809
random,in,1.3e-05,8.783362,0.25917075,0.25510862,0.00406213
random,in,0.000444,8.545907,0.21300008,0.19996732,0.01303277
random,in,3.2e-05,9.450406,0.24465314,0.23630641,0.00834673
random,in,8.1e-05,9.503718,0.3764938,0.38580038,0.00930658
random,in,0.000282,7.654389,0.18276088,0.14177373,0.04098715
random,in,0.000253,8.274924,0.25905343,0.23894918,0.02010426
random,in,0.000506,10.353321,0.27821267,0.25411802,0.02409464
random,in,0.001089,11.228109,0.22102714,0.256554,0.03552686
random,in,1.5e-05,8.841704,0.1196472,0.12859785,0.00895065
random,in,5e-06,9.997823,0.20659814,0.20784883,0.00125069
